Title,URL
"trickest/zip: Monitoring the internet for new .zip domains","https://github.com/trickest/zip"
"t3l3machus/toxssin: An XSS exploitation command-line interface and payload generator.","https://github.com/t3l3machus/toxssin"
"hwvs/Invoke-GPTObfuscation: Powershell implementation of a novel technique. Invoke-GPTObfuscation is a PowerShell Obfuscator that utilizes OpenAI (and other APIs) to obfuscate your PowerShell penetration testing code, malware, or any other sensitive script.","https://github.com/hwvs/Invoke-GPTObfuscation"
"pikpikcu/nodesub: Nodesub is a command-line tool for finding subdomains in bug bounty programs","https://github.com/pikpikcu/nodesub"
"projectdiscovery/nuclei: Fast and customizable vulnerability scanner based on simple YAML based DSL.","https://github.com/projectdiscovery/nuclei"
"baiyies/ScreenshotBOFPlus: Take a screenshot without injection for Cobalt Strike","https://github.com/baiyies/ScreenshotBOFPlus"
"AyalX/Instagram-Lookup: This script allows you to search for an Instagram profile using user ID or retrieve a profile's ID by username. It utilizes the Instagram API to retrieve profile information based on the provided input.","https://github.com/AyalX/Instagram-Lookup"
"0x727/BypassPro: 对权限绕过自动化bypass的burpsuite插件","https://github.com/0x727/BypassPro"
"01rabbit/KaliPAKU: KaliPAKU is a training tool for penetration testing using Kali Linux. It is designed to help security professionals and engineers improve their skills and enhance their organization's security posture.","https://github.com/01rabbit/KaliPAKU"
"0xe7/PowerSploit: PowerSploit - A PowerShell Post-Exploitation Framework","https://github.com/0xe7/PowerSploit"
"0xPugazh/fuzz4bounty: Awesome wordlists for Bug Bounty Hunting","https://github.com/0xPugazh/fuzz4bounty"
"3nock/SpiderSuite: Advance web spider/crawler for cyber security professionals","https://github.com/3nock/SpiderSuite"
"4g3nt47/Striker: A Command and Control (C2)","https://github.com/4g3nt47/Striker"
"anchore/grype: A vulnerability scanner for container images and filesystems","https://github.com/anchore/grype"
"Ashifcoder/exposelab: This is a fully automated Active directory Lab made with the purpose to reduce the hustle of creating it manually.","https://github.com/Ashifcoder/exposelab"
"awakecoding/wireshark-rdp: Wireshark RDP resources","https://github.com/awakecoding/wireshark-rdp"
"awesome-foss/awesome-sysadmin: A curated list of amazingly awesome open-source sysadmin resources.","https://github.com/awesome-foss/awesome-sysadmin"
"AzeemIdrisi/PhoneSploit-Pro: An all-in-one hacking tool to remotely exploit Android devices using ADB and Metasploit-Framework to get a Meterpreter session.","https://github.com/azeemidrisi/phonesploit-pro"
"beurtschipper/Depix: Recovers passwords from pixelized screenshots","https://github.com/beurtschipper/Depix"
"BitWalls-ops/ApkHack-BackDoor: ApkHack-BackDoor is a shell script that simplifies the process of adding a backdoor to any Android APK file.","https://github.com/BitWalls-ops/ApkHack-BackDoor"
"C3n7ral051nt4g3ncy/OSINT-Bookmarklets: Fast Search including Dark Web Search","https://github.com/C3n7ral051nt4g3ncy/OSINT-Bookmarklets"
"channyein1337/jsleak: jsleak is a tool to find secret , paths or links in the source code during the recon.","https://github.com/channyein1337/jsleak"
"chvancooten/maldev-for-dummies: A workshop about Malware Development","https://github.com/chvancooten/maldev-for-dummies"
"CiscoCXSecurity/linikatz: linikatz is a tool to attack AD on UNIX","https://github.com/CiscoCXSecurity/linikatz"
"CorrieOnly/google-dorks","https://github.com/CorrieOnly/google-dorks"
"cqcore/Social-Media-OSINT: Social Media OSINT collection containing - tools, techniques & tradecraft.","https://github.com/cqcore/Social-Media-OSINT"
"PrivFu/ArtsOfGetSystem at main · daem0nc0re/PrivFu · GitHub","https://github.com/daem0nc0re/PrivFu/tree/main/ArtsOfGetSystem"
"De3vil/KLogger: Remote persistent 🔑Logger for Windows and Linux","https://github.com/De3vil/KLogger"
"devploit/dontgo403: Tool to bypass 40X response codes.","https://github.com/devploit/dontgo403"
"dhondta/dronesploit: Drone pentesting framework console","https://github.com/dhondta/dronesploit"
"DosX-dev/UAC-Exploit: Confirmation message bypass","https://github.com/DosX-dev/UAC-Exploit"
"tooling-playground/PowershellStringCleaner at main · dr4k0nia/tooling-playground · GitHub","https://github.com/dr4k0nia/tooling-playground/tree/main/PowershellStringCleaner"
"dwisiswant0/apkleaks: Scanning APK file for URIs, endpoints & secrets.","https://github.com/dwisiswant0/apkleaks"
"ElectronicCats/CatSniffer: CatSniffer is an original multiprotocol, and multiband board made for sniffing, communicating, and attacking IoT (Internet of Things) devices. It was designed as a highly portable USB stick that integrates the new chips TI CC1352, Semtech SX1262, and Microchip SAMD21E17.","https://github.com/ElectronicCats/CatSniffer"
"EmberHext/DomoArigato: A simple command line tool which quickly audits the Disallow entries of a site's robots.txt.","https://github.com/EmberHext/DomoArigato"
"eslam3kl/SQLiDetector: Simple python script supported with BurpBouty profile that helps you to detect SQL injection ""Error based"" by sending multiple requests with 14 payloads and checking for 152 regex patterns for different databases.","https://github.com/eslam3kl/SQLiDetector"
"Viper/README_EN.md at master · FunnyWolf/Viper · GitHub","https://github.com/FunnyWolf/Viper/blob/master/README_EN.md"
"gbrls/kurl: HTTP Requests for security researchers","https://github.com/gbrls/kurl"
"giuliacassara/awesome-social-engineering: A curated list of awesome social engineering resources.","https://github.com/giuliacassara/awesome-social-engineering"
"glebarez/padre: Blazing fast, advanced Padding Oracle exploit","https://github.com/glebarez/padre"
